"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20160605","일","12","서울특별시","도봉구","창동","7"
"20160605","일","12","서울특별시","송파구","송파동","5"
"20160605","일","12","서울특별시","송파구","문정동","5"
"20160605","일","12","서울특별시","은평구","불광동","5"
"20160605","일","13","서울특별시","강남구","신사동","5"
"20160605","일","13","서울특별시","강동구","상일동","5"
"20160605","일","13","서울특별시","강서구","오곡동","5"
"20160605","일","13","서울특별시","도봉구","창동","6"
"20160605","일","13","서울특별시","마포구","상암동","5"
"20160605","일","13","서울특별시","마포구","망원동","5"
"20160605","일","13","서울특별시","서초구","양재동","5"
"20160605","일","13","서울특별시","송파구","문정동","5"
"20160605","일","14","서울특별시","강남구","역삼동","5"
"20160605","일","14","서울특별시","강동구","상일동","5"
"20160605","일","14","서울특별시","강동구","강일동","5"
"20160605","일","14","서울특별시","강서구","방화동","5"
"20160605","일","14","서울특별시","강서구","내발산동","5"
"20160605","일","14","서울특별시","도봉구","창동","5"
"20160605","일","14","서울특별시","종로구","계동","5"
"20160605","일","15","서울특별시","강남구","역삼동","5"
"20160605","일","15","서울특별시","강남구","삼성동","5"
"20160605","일","15","서울특별시","강동구","성내동","5"
"20160605","일","15","서울특별시","강동구","상일동","5"
"20160605","일","15","서울특별시","강서구","내발산동","5"
"20160605","일","15","서울특별시","도봉구","창동","5"
"20160605","일","15","서울특별시","서대문구","북아현동","5"
"20160605","일","15","서울특별시","송파구","송파동","5"
"20160605","일","15","서울특별시","용산구","후암동","5"
"20160605","일","15","서울특별시","은평구","불광동","5"
"20160605","일","15","서울특별시","종로구","종로5가","5"
"20160605","일","15","서울특별시","중구","남대문로4가","5"
"20160605","일","16","서울특별시","강남구","역삼동","5"
"20160605","일","16","서울특별시","강남구","일원동","5"
"20160605","일","16","서울특별시","강동구","길동","5"
"20160605","일","16","서울특별시","강서구","화곡동","5"
"20160605","일","16","서울특별시","강서구","내발산동","5"
"20160605","일","16","서울특별시","도봉구","창동","5"
"20160605","일","16","서울특별시","송파구","가락동","5"
"20160605","일","17","서울특별시","강남구","역삼동","5"
"20160605","일","17","서울특별시","강남구","도곡동","5"
"20160605","일","17","서울특별시","강서구","방화동","5"
"20160605","일","17","서울특별시","강서구","내발산동","5"
"20160605","일","17","서울특별시","관악구","신림동","5"
"20160605","일","17","서울특별시","관악구","봉천동","5"
"20160605","일","17","서울특별시","도봉구","쌍문동","5"
"20160605","일","17","서울특별시","도봉구","창동","5"
"20160605","일","17","서울특별시","동대문구","제기동","5"
"20160605","일","17","서울특별시","동작구","신대방동","5"
"20160605","일","17","서울특별시","서대문구","홍은동","5"
"20160605","일","17","서울특별시","은평구","불광동","5"
"20160605","일","17","서울특별시","중랑구","면목동","5"
"20160605","일","18","서울특별시","강서구","방화동","5"
"20160605","일","18","서울특별시","강서구","내발산동","5"
"20160605","일","18","서울특별시","구로구","신도림동","5"
"20160605","일","18","서울특별시","금천구","가산동","5"
"20160605","일","18","서울특별시","도봉구","창동","5"
"20160605","일","18","서울특별시","송파구","가락동","5"
"20160605","일","18","서울특별시","은평구","불광동","5"
"20160605","일","19","서울특별시","강남구","역삼동","5"
"20160605","일","19","서울특별시","강동구","상일동","5"
"20160605","일","19","서울특별시","구로구","개봉동","5"
"20160605","일","19","서울특별시","도봉구","창동","5"
"20160605","일","19","서울특별시","마포구","서교동","5"
"20160605","일","19","서울특별시","송파구","송파동","5"
"20160605","일","20","서울특별시","강남구","논현동","5"
"20160605","일","20","서울특별시","강남구","세곡동","5"
"20160605","일","20","서울특별시","강동구","강일동","5"
"20160605","일","20","서울특별시","강동구","천호동","5"
"20160605","일","20","서울특별시","광진구","자양동","5"
"20160605","일","20","서울특별시","도봉구","창동","7"
"20160605","일","20","서울특별시","도봉구","쌍문동","5"
"20160605","일","20","서울특별시","마포구","합정동","5"
"20160605","일","20","서울특별시","서초구","양재동","5"
"20160605","일","20","서울특별시","중구","신당동","5"
"20160605","일","20","서울특별시","중구","수하동","5"
"20160605","일","21","서울특별시","강남구","삼성동","5"
"20160605","일","21","서울특별시","강남구","개포동","5"
"20160605","일","21","서울특별시","강동구","상일동","5"
"20160605","일","21","서울특별시","강서구","방화동","5"
"20160605","일","21","서울특별시","금천구","가산동","5"
"20160605","일","21","서울특별시","도봉구","창동","5"
"20160605","일","21","서울특별시","서대문구","대현동","5"
"20160605","일","21","서울특별시","양천구","목동","5"
"20160605","일","21","서울특별시","영등포구","영등포동3가","5"
"20160605","일","21","서울특별시","은평구","진관동","5"
"20160605","일","22","서울특별시","강남구","논현동","5"
"20160605","일","22","서울특별시","강남구","세곡동","5"
"20160605","일","22","서울특별시","강동구","강일동","5"
"20160605","일","22","서울특별시","구로구","신도림동","5"
"20160605","일","22","서울특별시","도봉구","창동","5"
"20160605","일","22","서울특별시","서대문구","대현동","5"
"20160605","일","22","서울특별시","서초구","서초동","5"
"20160605","일","22","서울특별시","양천구","신정동","5"
"20160605","일","23","서울특별시","강남구","논현동","5"
"20160605","일","23","서울특별시","강동구","상일동","5"
"20160605","일","23","서울특별시","강서구","방화동","5"
"20160605","일","23","서울특별시","도봉구","창동","7"
"20160605","일","23","서울특별시","마포구","상암동","5"
"20160605","일","23","서울특별시","서초구","반포동","5"
"20160605","일","23","서울특별시","성동구","성수동2가","5"
"20160606","월","00","서울특별시","강남구","논현동","5"
"20160606","월","00","서울특별시","강남구","삼성동","5"
"20160606","월","00","서울특별시","강남구","세곡동","5"
"20160606","월","00","서울특별시","강남구","역삼동","5"
"20160606","월","00","서울특별시","강동구","길동","5"
"20160606","월","00","서울특별시","강동구","강일동","5"
"20160606","월","00","서울특별시","강서구","가양동","5"
"20160606","월","00","서울특별시","구로구","구로동","5"
"20160606","월","00","서울특별시","노원구","상계동","5"
"20160606","월","00","서울특별시","도봉구","창동","5"
"20160606","월","00","서울특별시","마포구","상암동","5"
"20160606","월","00","서울특별시","마포구","합정동","5"
"20160606","월","00","서울특별시","서초구","양재동","5"
"20160606","월","00","서울특별시","서초구","방배동","5"
"20160606","월","00","서울특별시","서초구","반포동","5"
"20160606","월","00","서울특별시","서초구","잠원동","5"
"20160606","월","00","서울특별시","송파구","송파동","5"
"20160606","월","00","서울특별시","영등포구","양평동4가","5"
"20160606","월","00","서울특별시","영등포구","여의도동","5"
"20160606","월","00","서울특별시","용산구","동빙고동","5"
"20160606","월","00","서울특별시","용산구","후암동","5"
"20160606","월","01","서울특별시","강남구","삼성동","5"
"20160606","월","01","서울특별시","강남구","대치동","5"
"20160606","월","01","서울특별시","강남구","신사동","5"
"20160606","월","01","서울특별시","강북구","미아동","5"
"20160606","월","01","서울특별시","강서구","염창동","5"
"20160606","월","01","서울특별시","도봉구","창동","5"
"20160606","월","01","서울특별시","마포구","합정동","5"
"20160606","월","01","서울특별시","서대문구","대현동","5"
"20160606","월","01","서울특별시","서초구","잠원동","5"
"20160606","월","01","서울특별시","서초구","방배동","5"
"20160606","월","01","서울특별시","서초구","반포동","5"
"20160606","월","01","서울특별시","송파구","송파동","5"
"20160606","월","01","서울특별시","양천구","목동","5"
"20160606","월","01","서울특별시","용산구","한남동","5"
"20160606","월","02","서울특별시","강남구","논현동","5"
"20160606","월","02","서울특별시","강동구","성내동","5"
"20160606","월","02","서울특별시","도봉구","창동","5"
"20160606","월","02","서울특별시","마포구","합정동","5"
"20160606","월","02","서울특별시","서초구","서초동","5"
"20160606","월","02","서울특별시","성동구","성수동2가","5"
"20160606","월","02","서울특별시","송파구","송파동","5"
"20160606","월","02","서울특별시","용산구","한강로2가","5"
"20160606","월","02","서울특별시","용산구","동빙고동","5"
"20160606","월","03","서울특별시","강남구","삼성동","5"
"20160606","월","03","서울특별시","강남구","역삼동","5"
"20160606","월","03","서울특별시","강남구","세곡동","5"
"20160606","월","03","서울특별시","강동구","성내동","5"
"20160606","월","03","서울특별시","강동구","명일동","5"
"20160606","월","03","서울특별시","도봉구","창동","5"
"20160606","월","03","서울특별시","성동구","성수동2가","5"
"20160606","월","03","서울특별시","송파구","송파동","5"
"20160606","월","03","서울특별시","용산구","한강로2가","5"
"20160606","월","04","서울특별시","강남구","대치동","5"
"20160606","월","04","서울특별시","도봉구","창동","5"
"20160606","월","04","서울특별시","서초구","양재동","5"
"20160606","월","04","서울특별시","은평구","구산동","5"
"20160606","월","05","서울특별시","금천구","독산동","5"
"20160606","월","06","서울특별시","강동구","강일동","5"
"20160606","월","06","서울특별시","강서구","가양동","5"
"20160606","월","06","서울특별시","도봉구","창동","5"
"20160606","월","06","서울특별시","서대문구","대현동","5"
"20160606","월","07","서울특별시","강동구","성내동","5"
"20160606","월","07","서울특별시","구로구","궁동","5"
"20160606","월","07","서울특별시","도봉구","창동","5"
"20160606","월","07","서울특별시","송파구","가락동","5"
"20160606","월","07","서울특별시","은평구","구산동","5"
"20160606","월","08","서울특별시","강남구","삼성동","5"
"20160606","월","08","서울특별시","강동구","천호동","5"
"20160606","월","08","서울특별시","구로구","신도림동","5"
"20160606","월","08","서울특별시","도봉구","창동","5"
"20160606","월","08","서울특별시","서초구","양재동","5"
"20160606","월","08","서울특별시","송파구","송파동","5"
"20160606","월","09","서울특별시","강동구","상일동","5"
"20160606","월","09","서울특별시","강서구","내발산동","5"
"20160606","월","09","서울특별시","도봉구","창동","5"
"20160606","월","09","서울특별시","송파구","송파동","5"
"20160606","월","10","서울특별시","강남구","역삼동","5"
"20160606","월","10","서울특별시","강동구","성내동","5"
"20160606","월","10","서울특별시","강서구","염창동","5"
"20160606","월","10","서울특별시","광진구","자양동","5"
"20160606","월","10","서울특별시","구로구","구로동","5"
"20160606","월","10","서울특별시","구로구","개봉동","5"
"20160606","월","10","서울특별시","도봉구","창동","8"
"20160606","월","11","서울특별시","강남구","일원동","5"
"20160606","월","11","서울특별시","강남구","삼성동","5"
"20160606","월","11","서울특별시","강동구","성내동","5"
"20160606","월","11","서울특별시","도봉구","창동","5"
"20160606","월","11","서울특별시","서초구","방배동","5"
"20160606","월","12","서울특별시","강서구","내발산동","5"
"20160606","월","12","서울특별시","광진구","자양동","5"
"20160606","월","12","서울특별시","도봉구","창동","5"
"20160606","월","13","서울특별시","강남구","세곡동","5"
"20160606","월","13","서울특별시","강남구","논현동","5"
"20160606","월","13","서울특별시","강서구","방화동","5"
"20160606","월","13","서울특별시","도봉구","창동","5"
"20160606","월","13","서울특별시","서초구","원지동","5"
"20160606","월","13","서울특별시","서초구","양재동","5"
"20160606","월","13","서울특별시","송파구","가락동","5"
"20160606","월","13","서울특별시","송파구","송파동","5"
"20160606","월","14","서울특별시","강남구","대치동","5"
"20160606","월","14","서울특별시","강동구","성내동","5"
"20160606","월","14","서울특별시","강동구","상일동","5"
"20160606","월","14","서울특별시","강서구","방화동","5"
"20160606","월","14","서울특별시","강서구","내발산동","5"
"20160606","월","14","서울특별시","도봉구","창동","6"
"20160606","월","14","서울특별시","송파구","가락동","5"
"20160606","월","14","서울특별시","송파구","문정동","5"
"20160606","월","14","서울특별시","양천구","신정동","5"
"20160606","월","14","서울특별시","용산구","이촌동","5"
"20160606","월","14","서울특별시","종로구","서린동","5"
"20160606","월","15","서울특별시","강남구","삼성동","5"
"20160606","월","15","서울특별시","강동구","상일동","5"
"20160606","월","15","서울특별시","강서구","방화동","5"
"20160606","월","15","서울특별시","강서구","화곡동","5"
"20160606","월","15","서울특별시","도봉구","창동","6"
"20160606","월","15","서울특별시","서초구","원지동","5"
"20160606","월","16","서울특별시","강남구","삼성동","5"
"20160606","월","16","서울특별시","강남구","논현동","5"
"20160606","월","16","서울특별시","강남구","역삼동","5"
"20160606","월","16","서울특별시","강서구","방화동","5"
"20160606","월","16","서울특별시","구로구","신도림동","5"
"20160606","월","16","서울특별시","도봉구","창동","5"
"20160606","월","16","서울특별시","마포구","합정동","5"
"20160606","월","16","서울특별시","성동구","성수동2가","5"
"20160606","월","17","서울특별시","강동구","강일동","5"
"20160606","월","17","서울특별시","강동구","상일동","5"
"20160606","월","17","서울특별시","광진구","자양동","5"
"20160606","월","17","서울특별시","노원구","공릉동","5"
"20160606","월","17","서울특별시","도봉구","창동","7"
"20160606","월","17","서울특별시","동대문구","제기동","5"
"20160606","월","17","서울특별시","송파구","가락동","5"
"20160606","월","17","서울특별시","송파구","송파동","5"
"20160606","월","18","서울특별시","강남구","논현동","5"
"20160606","월","18","서울특별시","강동구","상일동","5"
"20160606","월","18","서울특별시","강동구","강일동","5"
"20160606","월","18","서울특별시","강서구","내발산동","5"
"20160606","월","18","서울특별시","도봉구","창동","5"
"20160606","월","18","서울특별시","서초구","양재동","5"
"20160606","월","18","서울특별시","서초구","방배동","5"
"20160606","월","18","서울특별시","송파구","가락동","5"
"20160606","월","19","서울특별시","강남구","대치동","5"
"20160606","월","19","서울특별시","강동구","상일동","5"
"20160606","월","19","서울특별시","강서구","내발산동","5"
"20160606","월","19","서울특별시","강서구","방화동","5"
"20160606","월","19","서울특별시","구로구","개봉동","5"
"20160606","월","19","서울특별시","도봉구","창동","5"
"20160606","월","19","서울특별시","송파구","송파동","5"
"20160606","월","20","서울특별시","강남구","삼성동","5"
"20160606","월","20","서울특별시","강동구","성내동","5"
"20160606","월","20","서울특별시","강동구","상일동","5"
"20160606","월","20","서울특별시","광진구","자양동","5"
"20160606","월","20","서울특별시","광진구","능동","5"
"20160606","월","20","서울특별시","마포구","용강동","5"
"20160606","월","20","서울특별시","서대문구","홍은동","5"
"20160606","월","20","서울특별시","서초구","원지동","5"
"20160606","월","20","서울특별시","성동구","성수동2가","5"
"20160606","월","20","서울특별시","은평구","구산동","5"
"20160606","월","20","서울특별시","종로구","종로5가","5"
"20160606","월","21","서울특별시","강남구","수서동","5"
"20160606","월","21","서울특별시","강남구","논현동","5"
"20160606","월","21","서울특별시","강동구","강일동","5"
"20160606","월","21","서울특별시","강서구","화곡동","5"
"20160606","월","21","서울특별시","강서구","등촌동","5"
"20160606","월","21","서울특별시","도봉구","창동","5"
"20160606","월","21","서울특별시","송파구","송파동","5"
"20160606","월","21","서울특별시","영등포구","여의도동","5"
"20160606","월","21","서울특별시","영등포구","문래동3가","5"
"20160606","월","22","서울특별시","강남구","삼성동","5"
"20160606","월","22","서울특별시","강동구","성내동","5"
"20160606","월","22","서울특별시","강동구","상일동","5"
"20160606","월","22","서울특별시","도봉구","창동","5"
"20160606","월","22","서울특별시","서대문구","대현동","5"
"20160606","월","22","서울특별시","서초구","방배동","5"
"20160606","월","22","서울특별시","성동구","성수동2가","5"
"20160606","월","22","서울특별시","송파구","가락동","5"
"20160606","월","22","서울특별시","용산구","후암동","5"
"20160606","월","22","서울특별시","용산구","한강로2가","5"
"20160606","월","22","서울특별시","은평구","불광동","5"
"20160606","월","23","서울특별시","강남구","논현동","5"
"20160606","월","23","서울특별시","강남구","개포동","5"
"20160606","월","23","서울특별시","금천구","가산동","5"
"20160606","월","23","서울특별시","도봉구","창동","8"
"20160606","월","23","서울특별시","송파구","문정동","5"
"20160606","월","23","서울특별시","영등포구","문래동3가","5"
"20160607","화","00","서울특별시","강남구","역삼동","5"
"20160607","화","00","서울특별시","노원구","상계동","5"
"20160607","화","00","서울특별시","도봉구","창동","5"
"20160607","화","00","서울특별시","마포구","신공덕동","5"
"20160607","화","00","서울특별시","서초구","반포동","5"
"20160607","화","01","서울특별시","마포구","동교동","5"
"20160607","화","01","서울특별시","서대문구","북가좌동","5"
"20160607","화","01","서울특별시","서초구","양재동","5"
"20160607","화","01","서울특별시","영등포구","영등포동3가","5"
"20160607","화","01","서울특별시","용산구","한강로2가","5"
"20160607","화","02","서울특별시","강남구","신사동","5"
"20160607","화","02","서울특별시","강남구","역삼동","5"
"20160607","화","02","서울특별시","송파구","오금동","5"
"20160607","화","03","서울특별시","관악구","봉천동","5"
"20160607","화","03","서울특별시","도봉구","창동","5"
"20160607","화","03","서울특별시","동작구","대방동","5"
"20160607","화","03","서울특별시","서대문구","대현동","5"
"20160607","화","03","서울특별시","서초구","잠원동","5"
"20160607","화","03","서울특별시","송파구","가락동","5"
"20160607","화","03","서울특별시","영등포구","문래동3가","5"
"20160607","화","04","서울특별시","강동구","강일동","5"
"20160607","화","04","서울특별시","송파구","송파동","5"
"20160607","화","04","서울특별시","중구","신당동","5"
"20160607","화","05","서울특별시","강서구","화곡동","5"
"20160607","화","05","서울특별시","강서구","방화동","5"
"20160607","화","05","서울특별시","강서구","가양동","5"
"20160607","화","05","서울특별시","마포구","대흥동","5"
"20160607","화","05","서울특별시","서초구","방배동","5"
"20160607","화","06","서울특별시","강남구","역삼동","5"
"20160607","화","06","서울특별시","강동구","성내동","5"
"20160607","화","06","서울특별시","강서구","화곡동","5"
"20160607","화","06","서울특별시","구로구","개봉동","5"
"20160607","화","06","서울특별시","도봉구","창동","5"
"20160607","화","06","서울특별시","송파구","송파동","5"
"20160607","화","06","서울특별시","송파구","가락동","5"
"20160607","화","07","서울특별시","강남구","역삼동","5"
"20160607","화","07","서울특별시","강서구","내발산동","5"
"20160607","화","07","서울특별시","도봉구","창동","6"
"20160607","화","07","서울특별시","서초구","방배동","5"
"20160607","화","07","서울특별시","서초구","내곡동","5"
"20160607","화","07","서울특별시","송파구","송파동","5"
"20160607","화","07","서울특별시","송파구","문정동","5"
"20160607","화","07","서울특별시","은평구","불광동","5"
"20160607","화","07","서울특별시","은평구","구산동","5"
"20160607","화","08","서울특별시","강동구","상일동","5"
"20160607","화","08","서울특별시","강동구","성내동","5"
"20160607","화","08","서울특별시","강서구","방화동","5"
"20160607","화","08","서울특별시","도봉구","창동","18"
"20160607","화","08","서울특별시","서대문구","홍제동","5"
"20160607","화","08","서울특별시","용산구","한남동","5"
"20160607","화","08","서울특별시","용산구","한강로2가","5"
"20160607","화","08","서울특별시","중구","신당동","5"
"20160607","화","09","서울특별시","강남구","삼성동","5"
"20160607","화","09","서울특별시","강남구","역삼동","5"
"20160607","화","09","서울특별시","강남구","논현동","5"
"20160607","화","09","서울특별시","강남구","수서동","5"
"20160607","화","09","서울특별시","강동구","암사동","5"
"20160607","화","09","서울특별시","강동구","강일동","5"
"20160607","화","09","서울특별시","노원구","상계동","5"
"20160607","화","09","서울특별시","도봉구","창동","5"
"20160607","화","09","서울특별시","마포구","서교동","5"
"20160607","화","09","서울특별시","서대문구","홍제동","5"
"20160607","화","09","서울특별시","서초구","방배동","5"
"20160607","화","09","서울특별시","송파구","가락동","5"
"20160607","화","09","서울특별시","은평구","불광동","5"
"20160607","화","10","서울특별시","강남구","일원동","5"
"20160607","화","10","서울특별시","강동구","천호동","5"
"20160607","화","10","서울특별시","구로구","개봉동","5"
"20160607","화","10","서울특별시","도봉구","창동","5"
"20160607","화","10","서울특별시","서초구","서초동","5"
"20160607","화","10","서울특별시","은평구","불광동","5"
"20160607","화","10","서울특별시","중구","명동2가","5"
"20160607","화","11","서울특별시","강남구","도곡동","5"
"20160607","화","11","서울특별시","강동구","강일동","5"
"20160607","화","11","서울특별시","강서구","내발산동","5"
"20160607","화","11","서울특별시","관악구","봉천동","5"
"20160607","화","11","서울특별시","도봉구","창동","5"
"20160607","화","11","서울특별시","서초구","서초동","5"
"20160607","화","12","서울특별시","강남구","삼성동","5"
"20160607","화","12","서울특별시","강동구","상일동","5"
"20160607","화","12","서울특별시","강서구","등촌동","5"
"20160607","화","12","서울특별시","구로구","신도림동","5"
"20160607","화","12","서울특별시","노원구","상계동","5"
"20160607","화","12","서울특별시","도봉구","창동","5"
"20160607","화","12","서울특별시","동작구","사당동","5"
"20160607","화","12","서울특별시","서대문구","홍제동","5"
"20160607","화","12","서울특별시","서초구","서초동","5"
"20160607","화","12","서울특별시","송파구","송파동","5"
"20160607","화","12","서울특별시","양천구","신월동","5"
"20160607","화","12","서울특별시","영등포구","여의도동","5"
"20160607","화","12","서울특별시","중구","수하동","5"
"20160607","화","13","서울특별시","도봉구","창동","5"
"20160607","화","13","서울특별시","송파구","가락동","5"
"20160607","화","13","서울특별시","용산구","후암동","5"
"20160607","화","13","서울특별시","종로구","와룡동","5"
"20160607","화","14","서울특별시","강남구","도곡동","5"
"20160607","화","14","서울특별시","강동구","상일동","5"
"20160607","화","14","서울특별시","도봉구","창동","5"
"20160607","화","14","서울특별시","양천구","신월동","5"
"20160607","화","15","서울특별시","강남구","삼성동","5"
"20160607","화","15","서울특별시","강남구","역삼동","5"
"20160607","화","15","서울특별시","강서구","가양동","5"
"20160607","화","15","서울특별시","구로구","구로동","5"
"20160607","화","15","서울특별시","금천구","가산동","5"
"20160607","화","15","서울특별시","도봉구","창동","5"
"20160607","화","15","서울특별시","서초구","방배동","5"
"20160607","화","15","서울특별시","성북구","정릉동","5"
"20160607","화","16","서울특별시","강남구","수서동","5"
"20160607","화","16","서울특별시","강동구","성내동","5"
"20160607","화","16","서울특별시","강서구","내발산동","5"
"20160607","화","16","서울특별시","강서구","방화동","5"
"20160607","화","16","서울특별시","도봉구","창동","5"
"20160607","화","16","서울특별시","용산구","후암동","5"
"20160607","화","16","서울특별시","은평구","불광동","5"
"20160607","화","16","서울특별시","중구","신당동","5"
"20160607","화","17","서울특별시","강남구","신사동","5"
"20160607","화","17","서울특별시","강남구","역삼동","5"
"20160607","화","17","서울특별시","강남구","논현동","5"
"20160607","화","17","서울특별시","강동구","성내동","5"
"20160607","화","17","서울특별시","강서구","등촌동","5"
"20160607","화","17","서울특별시","도봉구","창동","9"
"20160607","화","17","서울특별시","동대문구","장안동","5"
"20160607","화","17","서울특별시","서초구","양재동","5"
"20160607","화","17","서울특별시","서초구","서초동","5"
"20160607","화","17","서울특별시","송파구","송파동","5"
"20160607","화","17","서울특별시","영등포구","영등포동2가","5"
"20160607","화","17","서울특별시","영등포구","여의도동","5"
"20160607","화","17","서울특별시","종로구","평창동","5"
"20160607","화","17","서울특별시","중구","수하동","5"
"20160607","화","17","서울특별시","중랑구","면목동","5"
"20160607","화","18","서울특별시","강남구","역삼동","5"
"20160607","화","18","서울특별시","강남구","세곡동","5"
"20160607","화","18","서울특별시","강동구","성내동","5"
"20160607","화","18","서울특별시","강동구","천호동","5"
"20160607","화","18","서울특별시","강서구","내발산동","5"
"20160607","화","18","서울특별시","도봉구","창동","6"
"20160607","화","18","서울특별시","서대문구","북아현동","5"
"20160607","화","18","서울특별시","서초구","서초동","5"
"20160607","화","18","서울특별시","송파구","가락동","5"
"20160607","화","18","서울특별시","양천구","신정동","5"
"20160607","화","19","서울특별시","강남구","세곡동","5"
"20160607","화","19","서울특별시","강동구","상일동","5"
"20160607","화","19","서울특별시","강서구","내발산동","5"
"20160607","화","19","서울특별시","강서구","방화동","5"
"20160607","화","19","서울특별시","도봉구","창동","5"
"20160607","화","19","서울특별시","마포구","서교동","5"
"20160607","화","19","서울특별시","서초구","방배동","5"
"20160607","화","19","서울특별시","송파구","송파동","5"
"20160607","화","19","서울특별시","송파구","가락동","5"
"20160607","화","19","서울특별시","은평구","불광동","5"
"20160607","화","19","서울특별시","종로구","행촌동","5"
"20160607","화","19","서울특별시","중구","신당동","5"
"20160607","화","20","서울특별시","강남구","삼성동","5"
"20160607","화","20","서울특별시","강남구","역삼동","5"
"20160607","화","20","서울특별시","강동구","상일동","5"
"20160607","화","20","서울특별시","강서구","내발산동","5"
"20160607","화","20","서울특별시","도봉구","창동","5"
"20160607","화","20","서울특별시","마포구","상암동","5"
"20160607","화","20","서울특별시","마포구","합정동","5"
"20160607","화","20","서울특별시","서초구","방배동","5"
"20160607","화","20","서울특별시","송파구","풍납동","5"
"20160607","화","20","서울특별시","송파구","송파동","5"
"20160607","화","20","서울특별시","영등포구","신길동","5"
"20160607","화","20","서울특별시","용산구","후암동","5"
"20160607","화","20","서울특별시","은평구","구산동","5"
"20160607","화","20","서울특별시","중구","충무로4가","5"
"20160607","화","20","서울특별시","중구","수표동","5"
"20160607","화","20","서울특별시","중구","수하동","5"
"20160607","화","20","서울특별시","중구","태평로2가","5"
"20160607","화","21","서울특별시","강남구","세곡동","5"
"20160607","화","21","서울특별시","강남구","역삼동","5"
"20160607","화","21","서울특별시","강남구","논현동","5"
"20160607","화","21","서울특별시","강남구","삼성동","5"
"20160607","화","21","서울특별시","강남구","신사동","5"
"20160607","화","21","서울특별시","강동구","상일동","5"
"20160607","화","21","서울특별시","강동구","명일동","5"
"20160607","화","21","서울특별시","광진구","능동","5"
"20160607","화","21","서울특별시","구로구","신도림동","5"
"20160607","화","21","서울특별시","도봉구","창동","5"
"20160607","화","21","서울특별시","동작구","상도동","5"
"20160607","화","21","서울특별시","마포구","성산동","5"
"20160607","화","21","서울특별시","서대문구","대현동","5"
"20160607","화","21","서울특별시","서초구","방배동","5"
"20160607","화","21","서울특별시","서초구","양재동","5"
"20160607","화","21","서울특별시","서초구","반포동","5"
"20160607","화","21","서울특별시","서초구","서초동","5"
"20160607","화","21","서울특별시","송파구","송파동","5"
"20160607","화","21","서울특별시","영등포구","여의도동","5"
"20160607","화","21","서울특별시","용산구","후암동","5"
"20160607","화","21","서울특별시","용산구","한강로2가","5"
"20160607","화","21","서울특별시","종로구","서린동","5"
"20160607","화","21","서울특별시","중구","수하동","5"
"20160607","화","21","서울특별시","중구","남대문로1가","5"
"20160607","화","21","서울특별시","중구","충무로4가","5"
"20160607","화","22","서울특별시","강남구","세곡동","5"
"20160607","화","22","서울특별시","강남구","역삼동","9"
"20160607","화","22","서울특별시","강남구","논현동","5"
"20160607","화","22","서울특별시","강남구","삼성동","5"
"20160607","화","22","서울특별시","강남구","신사동","5"
"20160607","화","22","서울특별시","강동구","천호동","5"
"20160607","화","22","서울특별시","강동구","성내동","5"
"20160607","화","22","서울특별시","강서구","염창동","5"
"20160607","화","22","서울특별시","강서구","내발산동","5"
"20160607","화","22","서울특별시","관악구","봉천동","5"
"20160607","화","22","서울특별시","도봉구","창동","5"
"20160607","화","22","서울특별시","마포구","신공덕동","5"
"20160607","화","22","서울특별시","서대문구","신촌동","5"
"20160607","화","22","서울특별시","서대문구","대현동","5"
"20160607","화","22","서울특별시","서대문구","남가좌동","5"
"20160607","화","22","서울특별시","서대문구","홍제동","5"
"20160607","화","22","서울특별시","서초구","양재동","5"
"20160607","화","22","서울특별시","서초구","서초동","5"
"20160607","화","22","서울특별시","영등포구","여의도동","5"
"20160607","화","22","서울특별시","용산구","후암동","5"
"20160607","화","22","서울특별시","용산구","동자동","5"
"20160607","화","22","서울특별시","은평구","불광동","5"
"20160607","화","22","서울특별시","종로구","계동","5"
"20160607","화","22","서울특별시","중구","수하동","8"
"20160607","화","22","서울특별시","중구","남대문로1가","5"
"20160607","화","23","서울특별시","강남구","역삼동","10"
"20160607","화","23","서울특별시","강남구","개포동","5"
"20160607","화","23","서울특별시","강남구","삼성동","5"
"20160607","화","23","서울특별시","강동구","성내동","5"
"20160607","화","23","서울특별시","강동구","상일동","5"
"20160607","화","23","서울특별시","강서구","방화동","5"
"20160607","화","23","서울특별시","노원구","공릉동","5"
"20160607","화","23","서울특별시","도봉구","창동","5"
"20160607","화","23","서울특별시","동작구","사당동","5"
"20160607","화","23","서울특별시","마포구","상수동","5"
"20160607","화","23","서울특별시","마포구","용강동","5"
"20160607","화","23","서울특별시","마포구","노고산동","5"
"20160607","화","23","서울특별시","마포구","대흥동","5"
"20160607","화","23","서울특별시","마포구","상암동","5"
"20160607","화","23","서울특별시","서대문구","창천동","5"
"20160607","화","23","서울특별시","서대문구","대현동","5"
"20160607","화","23","서울특별시","서초구","방배동","5"
"20160607","화","23","서울특별시","서초구","양재동","5"
"20160607","화","23","서울특별시","서초구","서초동","5"
"20160607","화","23","서울특별시","송파구","거여동","5"
"20160607","화","23","서울특별시","송파구","가락동","5"
"20160607","화","23","서울특별시","송파구","송파동","5"
"20160607","화","23","서울특별시","송파구","문정동","5"
"20160607","화","23","서울특별시","영등포구","문래동3가","5"
